991350,359.88,-0.25,4.81,0.00,0.00,-0.00,0.00,-0.01,0.23,-10.00,19.69,-58.50,-0.05,-0.84,10.00,-0.05,-0.82,9.77,22.22,930.44,21.31,27,54
1001980,359.88,-0.25,4.81,0.00,-0.00,-0.00,0.00,-0.02,0.26,-8.50,19.69,-58.88,-0.04,-0.84,9.88,-0.05,-0.82,9.77,22.22,930.43,21.31,27,54
1012610,359.88,-0.25,4.81,-0.00,0.00,0.00,0.01,-0.01,0.17,-10.00,19.69,-58.50,-0.03,-0.84,9.95,-0.05,-0.82,9.77,22.18,930.44,21.31,27,55
1023240,359.88,-0.25,4.81,0.00,0.00,-0.00,0.01,0.00,0.25,-8.50,19.69,-57.75,-0.03,-0.82,10.02,-0.05,-0.82,9.77,22.22,930.47,21.31,27,56
1033871,359.88,-0.25,4.81,-0.00,0.00,0.00,0.00,0.00,0.27,-8.06,19.25,-58.06,-0.04,-0.82,10.04,-0.05,-0.82,9.77,22.18,930.43,21.31,27,56
1044501,359.88,-0.25,4.81,0.00,0.00,0.00,0.00,-0.01,0.14,-9.25,19.25,-58.06,-0.05,-0.84,9.91,-0.05,-0.82,9.77,22.18,930.45,21.31,27,56
1055133,359.88,-0.25,4.81,0.00,0.00,-0.00,0.00,0.00,0.16,-8.50,20.38,-58.50,-0.04,-0.83,9.93,-0.05,-0.82,9.77,22.18,930.45,21.31,27,56
1065762,359.88,-0.25,4.81,-0.00,0.00,-0.00,0.00,-0.01,0.23,-10.38,20.06,-58.88,-0.03,-0.84,10.01,-0.05,-0.82,9.77,22.18,930.45,21.31,27,57
1076392,359.88,-0.25,4.81,0.00,0.00,0.00,0.00,0.00,0.22,-9.25,19.25,-58.06,-0.05,-0.83,9.99,-0.05,-0.82,9.77,22.18,930.46,21.31,27,57
1087024,359.88,-0.25,4.81,-0.00,0.00,0.00,0.02,0.00,0.16,-9.25,19.69,-57.38,-0.02,-0.82,9.94,-0.05,-0.82,9.77,22.15,930.46,21.31,27,58
1097654,359.88,-0.25,4.81,0.00,0.00,0.00,-0.01,0.00,0.18,-9.56,20.06,-59.25,-0.03,-0.83,10.00,-0.05,-0.82,9.77,22.18,930.46,21.31,27,58
1108284,359.88,-0.25,4.81,0.00,-0.00,0.00,0.02,0.00,0.20,-9.25,20.06,-58.88,-0.02,-0.83,9.97,-0.05,-0.82,9.77,22.15,930.44,21.31,27,58
1118915,359.88,-0.25,4.81,-0.00,-0.00,-0.00,0.00,-0.01,0.21,-9.56,19.25,-57.75,-0.04,-0.84,9.98,-0.05,-0.82,9.77,22.15,930.47,21.31,27,59
